*** This text file contains every unique word found within the old query
*** file. Each word is preceeded by a number, which represents the index
*** that when passed into the Dictionary.get() method, returns the
*** corresponding String. For fun, at the bottom of this file, there is a
*** giant block of text which shows how all of the words are stored as a
*** singular string within the Dictionary class. Happy reading!

354    |     7001045 | 56     | orlando
355    |     6003641 | 1      | ormond
356    |     5001212 | 18     | owner
357    |     7001727 | 7      | package
358    |     8001896 | 3      | packages
359    |     7003539 | 1      | packing
360    |     9001734 | 12     | paintings
361    |     4000387 | 71     | palm
362    |     7000583 | 12     | panacea
363    |     6000280 | 71     | panama
364    |     9000827 | 75     | panhandle
365    |     4000371 | 15     | park
366    |     7003553 | 1      | parking
367    |     5001352 | 45     | parks
368    |     5000295 | 10     | party
369    |     5001582 | 10     | pasco
370    |     4002672 | 2      | pass
371    |     6002947 | 1      | passes
372    |     6003249 | 2      | patrol
373    |     9000066 | 68     | pensacola
374    |     6000228 | 2      | people
375    |     5000773 | 6      | pepsi
376    |     7001862 | 10     | perdido
377    |     3003729 | 1      | pet
378    |     4000391 | 35     | pete
379    |    10000332 | 67     | petersburg
380    |    13002654 | 6      | photographers
381    |     6000644 | 73     | photos
382    |     7002288 | 1      | pickens
383    |     4001346 | 41     | pics
384    |     8000150 | 70     | pictures
385    |     6001092 | 9      | pierce
386    |     5002667 | 1      | piers
387    |     4002497 | 4      | pine
388    |     6001493 | 10     | places
389    |     7002801 | 1      | placida
390    |     4003701 | 1      | plan
391    |     5001438 | 17     | plans
392    |     6003228 | 2      | plants
393    |    10001962 | 1      | playalinda
394    |     5002719 | 7      | point
395    |     6002368 | 1      | police
396    |     9002309 | 3      | pollution
397    |     7001575 | 21     | pompano
398    |     5001912 | 1      | ponce
399    |     5003845 | 1      | ponte
400    |     7002465 | 4      | popular
401    |    10003422 | 1      | population
402    |     4001434 | 34     | port
403    |     6003243 | 1      | pretty
404    |     8002808 | 1      | pristine
405    |     7000075 | 9      | private
406    |    10000903 | 24     | properties
407    |     8000895 | 21     | property
408    |     6003453 | 2      | public
409    |     5002086 | 21     | punta
410    |     6002072 | 13     | quaint
411    |     7002220 | 9      | quality
412    |     6001761 | 1      | quartz
413    |     5002492 | 3      | quiet
414    |     6002934 | 1      | quotes
415    |     5001658 | 6      | radio
416    |     5002785 | 1      | rated
417    |     7002647 | 5      | ratings
418    |     5000660 | 14     | raton
419    |     4002007 | 22     | real
420    |     6001517 | 18     | realty
421    |     3000626 | 26     | red
422    |    11002171 | 4      | regulations
423    |     8001150 | 1      | relaxing
424    |     6002880 | 1      | remote
425    |    13003107 | 1      | renourishment
426    |     4000606 | 74     | rent
427    |     6000470 | 103    | rental
428    |     7000059 | 472    | rentals
429    |     6002272 | 15     | report
430    |     7002757 | 1      | reports
431    |     6000251 | 83     | resort
432    |     7000209 | 334    | resorts
433    |    11001499 | 11     | restaurants
434    |    11003333 | 1      | restoration
435    |     6001167 | 5      | retire
436    |    10003655 | 1      | retirement
437    |     7002127 | 16     | reviews
438    |     6003368 | 1      | riding
439    |     4001873 | 12     | ritz
440    |     7003778 | 1      | riviera
441    |     4002537 | 1      | road
442    |     4002998 | 3      | rock
443    |     5003592 | 1      | rooms
444    |     4001596 | 12     | rosa
445    |     8002604 | 1      | rosemary
446    |     7002816 | 7      | rotonda
447    |     2001350 | 56     | rv
448    |     4002388 | 2      | safe
449    |     6003522 | 1      | safety
450    |     5000673 | 20     | saint
451    |     4000326 | 279    | sale
452    |     5002861 | 2      | sales
453    |     3000749 | 14     | san
454    |     4001767 | 6      | sand
455    |     9001931 | 3      | sandblast
456    |     9001307 | 4      | sandestin
457    |     7000535 | 39     | sanibel
458    |     5001591 | 12     | santa
459    |     8000863 | 73     | sarasota
460    |     5001244 | 10     | scene
461    |     6001396 | 21     | scenes
462    |     3001567 | 16     | sea
463    |     8002770 | 7      | seagrove
464    |     9003468 | 1      | seashells
465    |     7000189 | 64     | seaside
466    |     9001998 | 6      | september
467    |     6001301 | 6      | shacks
468    |     5001416 | 15     | shark
469    |     6000650 | 13     | sharks
470    |     5002714 | 1      | shell
471    |     8001426 | 8      | shelling
472    |     6000940 | 32     | shells
473    |     6002563 | 2      | shirts
474    |     8002301 | 2      | shopping
475    |     5002832 | 2      | shops
476    |     5001480 | 7      | shore
477    |     6003528 | 1      | shores
478    |     4000107 | 49     | side
479    |     6000529 | 40     | siesta
480    |     6002156 | 6      | singer
481    |     5002414 | 1      | sites
482    |     6002960 | 1      | skirts
483    |     5002108 | 17     | small
484    |     6002625 | 1      | smyrna
485    |     6001849 | 7      | snakes
486    |    10003259 | 1      | snorkeling
487    |     6003669 | 1      | soccer
488    |     5002790 | 4      | songs
489    |     5003044 | 1      | sound
490    |     5000223 | 239    | south
491    |     9001158 | 16     | southeast
492    |     8000836 | 19     | southern
493    |     9001036 | 21     | southwest
494    |    12000678 | 6      | southwestern
495    |     4003665 | 1      | spas
496    |     8000725 | 4      | specials
497    |     4003894 | 1      | spot
498    |     5003102 | 5      | spots
499    |     6002521 | 5      | spring
500    |     7002140 | 5      | springs
501    |     2000330 | 171    | st
502    |     8002078 | 1      | starfish
503    |     8002478 | 1      | starwood
504    |     5000366 | 26     | state
505    |     8001663 | 6      | stations
506    |     6002695 | 1      | status
507    |     5003444 | 1      | stays
508    |    12003601 | 1      | steinhatchee
509    |     7002886 | 1      | sticker
510    |     5003840 | 1      | store
511    |     6001120 | 1      | string
512    |     6001652 | 21     | stuart
513    |     5002460 | 2      | style
514    |     6000047 | 3      | suites
515    |     5002249 | 1      | sunny
516    |     7002065 | 9      | sunrise
517    |     6000489 | 21     | sunset
518    |     4002510 | 1      | surf
519    |     7002571 | 3      | surfing
520    |     8003495 | 2      | surfside
521    |     8003310 | 1      | suwannee
522    |     2002569 | 12     | sw
523    |     8001719 | 4      | swimming
524    |     6002680 | 1      | system
525    |     1003647 | 1      | t
526    |    11000429 | 21     | tallahassee
527    |     5000310 | 169    | tampa
528    |     7002866 | 5      | tanning
529    |     7003403 | 1      | tattoos
530    |     9002147 | 1      | tavernier
531    |     3002560 | 1      | tee
532    |     5001421 | 11     | teeth
533    |     3000763 | 18     | ten
534    |     6002323 | 19     | teresa
535    |     5002244 | 2      | texas
536    |     6002552 | 1      | things
537    |     5003354 | 2      | thong
538    |     6002374 | 1      | thongs
539    |     4000629 | 26     | tide
540    |     9002501 | 5      | timeshare
541    |    10000616 | 18     | timeshares
542    |     4003141 | 5      | tiny
543    |     4003567 | 1      | tips
544    |    10000955 | 11     | titusville
545    |     5002733 | 4      | tolls
546    |     3000202 | 77     | top
547    |     7003380 | 2      | tourism
548    |     5001052 | 1      | tours
549    |     5000184 | 10     | towel
550    |     6001362 | 12     | towels
551    |     4002227 | 4      | town
552    |     5000290 | 163    | towns
553    |     6003055 | 4      | travel
554    |     8000504 | 44     | treasure
555    |     9002909 | 1      | treasures
556    |     5003417 | 1      | trees
557    |     4002541 | 10     | trip
558    |    11003065 | 6      | tripadvisor
559    |     5000542 | 16     | trips
560    |     7002953 | 1      | trolley
561    |     6000797 | 2      | turtle
562    |     3003510 | 1      | two
563    |    10001136 | 6      | university
564    |     2002945 | 2      | up
565    |     8000029 | 229    | vacation
566    |     9000973 | 114    | vacations
567    |     5003850 | 1      | vedra
568    |     6000610 | 225    | venice
569    |     5001972 | 4      | venue
570    |     6001295 | 13     | venues
571    |     5001285 | 17     | venus
572    |     4003359 | 1      | vero
573    |     5001007 | 31     | video
574    |     6000889 | 7      | videos
575    |     5002929 | 1      | viera
576    |     4001587 | 2      | view
577    |     5003785 | 1      | views
578    |     5003126 | 1      | villa
579    |     6003120 | 2      | villas
580    |     5000305 | 29     | visit
581    |    10001026 | 13     | volleyball
582    |     4001132 | 73     | vrbo
583    |     7002514 | 1      | wakulla
584    |     4003085 | 2      | wall
585    |     9003760 | 1      | wallpaper
586    |     6002188 | 13     | walton
587    |     7002334 | 9      | warning
588    |     8002203 | 1      | warnings
589    |     5000714 | 27     | water
590    |    10001940 | 7      | watercolor
591    |    11002585 | 1      | watercolors
592    |     9003002 | 1      | waterpark
593    |    10001544 | 1      | watersound
594    |     4002828 | 7      | wear
595    |     7001748 | 13     | weather
596    |     3001413 | 21     | web
597    |     6000354 | 265    | webcam
598    |     7000134 | 366    | webcams
599    |     7000266 | 120    | wedding
600    |     8000243 | 128    | weddings
601    |     7002631 | 3      | weekend
602    |     4000085 | 317    | west
603    |     7001173 | 29     | western
604    |     6000791 | 15     | westin
605    |     6000173 | 7      | weston
606    |    11002918 | 1      | wheelchairs
607    |     9001704 | 1      | wikipedia
608    |    11003145 | 1      | wildflowers
609    |     5002429 | 6      | women
610    |     3002711 | 6      | www
611    |     7001249 | 12     | wyndham
612    |    10002278 | 1      | yankeetown
613    |     7001922 | 6      | youtube
614    |     3003675 | 1      | zip
615    |     5003898 | 1      | zzzzz

floridabeachesbeachhotelsbestvacationbeachfrontsuitesdestinrentalspensacolaprivatemapwestcrabsnewsno
rthgulfsidemexicocondolivecamskeyswebcamshollywoodpicturesfortmyerscamfarwestonclubstowelseasidecond
ostoplistresortsjupitersouthpeoplemelbourneweddingsresortannamariaweddingclothespanamacitytownsparty
coastvisittampabaycottagessalestpetersburgaccessallkeywebcamhiltonstateparkcitieshousespalmpetecampg
roundsdressesgirlameliaislandtallahasseedestinationsnaplescamerashouserentalflagsmeaningssunsetinclu
sivetreasureatlantichalfathonsiestasanibeltripsnorthernjacksonvillecapecoralcompanypanaceaneargeorgi
ahomesrentvenicetimesharesredtideinformationphotossharksbocaratonfamiliessaintsouthwesternmarcoclear
watereastclearwatercameraspecialsbeautifulcouplessanblasalabamatenarcadiapepsicolamapsmiamiwestintur
tleemeraldclubairporthudsonpanhandlesouthernbeverlyhillsfeedkoasarasotacocoaeasternnicestvideosprope
rtypropertiesbusinesseslauderdalehiltonsshellsnorthwesttitusvillecheapestvacationsnovemberbradentond
etailedvideolocationshyattvolleyballsouthwestorlandotourscottageairbnbbarcentralislandsbabespierceca
